岗位ID,发布日期,年月,城市,城市等级,行业,岗位名称,劳动类型,技能方向,结算方式,时薪_元,参考日薪_元,预计月收入_元,每周工时,招聘人数,岗位热度指数,远程办公,经验要求,学历要求,技能门槛_1至5,成长潜力_1至5,高考毕业生适配,培训后可胜任,企业名称,企业类型,公司规模,数据性质,薪资口径说明
PT202506009207,2025-06-18,2025-06,南京,新一线,教育科技,AI课件制作助理,脑力劳动,AIGC,项目结,104.0,416,5854,13,2,81.1,是,有课程项目经验,高中/中专及以上,5,4,需培训后,部分,智谷电子商务有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506009329,2025-06-18,2025-06,济南,二线,本地生活,校园配送员,体力劳动,基础服务,日结,25.2,202,2073,19,3,54.9,否,无需经验,不限,1,2,是,是,晨光企业服务有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506009448,2025-06-18,2025-06,济南,二线,文化传媒,短视频剪辑助理,脑力劳动,普通数字岗位,小时结,50.6,304,2410,11,5,64.7,是,无需经验,高中/中专及以上,1,3,是,是,启航电子商务有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506010105,2025-06-18,2025-06,上海,一线,本地生活,校园配送员,体力劳动,基础服务,小时结,38.3,153,2819,17,2,57.3,否,有相关经验优先,不限,1,1,是,是,星河文化传媒有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506011156,2025-06-18,2025-06,广州,一线,教育科技,AI课件制作助理,脑力劳动,AIGC,小时结,129.4,776,11206,20,1,93.2,是,无需经验,高中/中专及以上,4,5,是,部分,灵犀网络技术有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506011780,2025-06-18,2025-06,深圳,一线,教育科技,AI课件制作助理,脑力劳动,AIGC,项目结,146.7,587,12704,20,1,88.4,否,有课程项目经验,高中/中专及以上,4,5,需培训后,是,新域信息服务有限公司,数字营销公司,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506011842,2025-06-18,2025-06,成都,新一线,电子商务,商品信息录入员,脑力劳动,普通数字岗位,项目结,46.9,375,3452,17,1,76.9,是,有相关经验优先,高中/中专及以上,3,3,是,是,明途科技有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506012033,2025-06-18,2025-06,青岛,二线,品牌营销,AI创意策划助理,脑力劳动,AIGC,小时结,112.1,673,4854,10,1,85.7,是,有课程项目经验,高中/中专及以上,4,5,是,是,星河教育有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506012455,2025-06-18,2025-06,广州,一线,文旅服务,景区引导员,体力劳动,基础服务,周结,27.7,222,3118,26,5,59.4,否,无需经验,不限,2,3,是,是,知行信息服务有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506014117,2025-06-18,2025-06,北京,一线,餐饮,饮品店店员,体力劳动,基础服务,小时结,36.0,144,2806,18,2,53.9,否,无需经验,不限,2,2,是,是,博思教育有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506014410,2025-06-18,2025-06,北京,一线,文化传媒,批量内容生成工具开发,脑力劳动,Python+AIGC,项目结,184.0,736,12748,16,4,82.2,是,有课程项目经验,高中/中专及以上,4,5,需培训后,部分,数创数字创意有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506014689,2025-06-18,2025-06,南昌,二线,数据服务,Python数据清洗助理,脑力劳动,Python,周结,89.5,716,3488,9,2,84.4,否,有课程项目经验,不限,4,4,需培训后,是,未来信息服务有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506014909,2025-06-18,2025-06,南昌,二线,办公自动化,AI工作流自动化助理,脑力劳动,Python+AIGC,项目结,171.6,686,7430,10,1,81.1,是,有作品集优先,不限,4,5,需培训后,是,新域教育有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506015331,2025-06-18,2025-06,郑州,二线,企业服务,提示词优化助理,脑力劳动,AIGC,项目结,117.8,471,10201,20,1,80.0,否,无需经验,不限,4,5,需培训后,是,青禾数字创意有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506015843,2025-06-18,2025-06,北京,一线,教育科技,AI课件制作助理,脑力劳动,AIGC,项目结,190.5,762,17322,21,2,83.2,否,无需经验,不限,4,4,需培训后,是,博思网络技术有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506016161,2025-06-18,2025-06,深圳,一线,教育服务,教室管理助理,体力劳动,基础服务,日结,45.4,182,2752,14,7,71.7,否,无需经验,高中/中专及以上,1,3,是,是,晨光电子商务有限公司,数字营销公司,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506016314,2025-06-18,2025-06,济南,二线,餐饮,饮品店店员,体力劳动,基础服务,日结,30.3,182,1574,12,7,71.0,否,有相关经验优先,高中/中专及以上,1,1,是,是,启航文化传媒有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506017123,2025-06-18,2025-06,武汉,新一线,教育科技,AI学习工具开发助理,脑力劳动,Python+AIGC,项目结,216.4,1298,23425,25,4,87.5,是,有课程项目经验,大专及以上,5,4,需培训后,部分,启航教育有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506017414,2025-06-18,2025-06,长沙,新一线,本地生活,搬运协助员,体力劳动,基础服务,日结,24.0,144,1767,17,6,71.3,否,无需经验,不限,1,2,是,是,明途教育有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506018485,2025-06-18,2025-06,南昌,二线,电子商务,商品信息录入员,脑力劳动,普通数字岗位,项目结,45.7,366,4551,23,1,72.2,否,无需经验,高中/中专及以上,3,2,是,是,远望文化传媒有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506018982,2025-06-18,2025-06,西安,新一线,电子商务,AI商品图设计,脑力劳动,AIGC,小时结,120.8,725,4185,8,1,79.4,是,有课程项目经验,大专及以上,3,5,需培训后,是,极光电子商务有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506019242,2025-06-18,2025-06,青岛,二线,物流仓储,仓库分拣员,体力劳动,基础服务,日结,39.1,313,4233,25,2,57.5,否,无需经验,高中/中专及以上,1,3,是,是,灵犀信息服务有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506019261,2025-06-18,2025-06,南昌,二线,文化传媒,批量内容生成工具开发,脑力劳动,Python+AIGC,项目结,197.7,791,19689,23,3,99.5,是,有课程项目经验,高中/中专及以上,4,5,是,是,极光企业服务有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506019617,2025-06-18,2025-06,苏州,新一线,餐饮,饮品店店员,体力劳动,基础服务,周结,29.9,179,2330,18,5,73.1,否,无需经验,高中/中专及以上,2,1,是,是,新橙电子商务有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506019722,2025-06-18,2025-06,成都,新一线,本地生活,校园配送员,体力劳动,基础服务,小时结,25.5,102,3312,30,6,53.7,否,有相关经验优先,高中/中专及以上,2,3,是,是,跃迁信息服务有限公司,互联网企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506019883,2025-06-18,2025-06,苏州,新一线,会展活动,展会协助员,体力劳动,基础服务,周结,28.1,225,2555,21,8,62.6,否,无需经验,不限,1,1,是,是,云图电子商务有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506019970,2025-06-18,2025-06,苏州,新一线,教育科技,Python编程助教,脑力劳动,Python,项目结,108.4,867,9387,20,4,87.5,否,有课程项目经验,大专及以上,4,4,需培训后,是,数创教育有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506019975,2025-06-18,2025-06,南昌,二线,商超零售,门店促销员,体力劳动,基础服务,周结,21.3,170,1383,15,1,69.6,否,无需经验,高中/中专及以上,1,2,是,是,未来文化传媒有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506020037,2025-06-18,2025-06,长沙,新一线,电子商务,店铺运营助理,脑力劳动,普通数字岗位,小时结,39.9,319,2764,16,1,69.0,否,无需经验,高中/中专及以上,3,2,是,是,新橙企业服务有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506023194,2025-06-18,2025-06,广州,一线,知识服务,RAG知识库项目助理,脑力劳动,Python+AIGC,项目结,281.8,1691,9762,8,2,89.2,是,无需经验,高中/中专及以上,5,5,需培训后,是,明途教育有限公司,互联网企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506023452,2025-06-18,2025-06,贵阳,二线,客户服务,在线客服,脑力劳动,普通数字岗位,周结,36.2,217,3919,25,3,69.1,否,有作品优先,高中/中专及以上,1,2,是,是,智谷信息服务有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506023770,2025-06-18,2025-06,成都,新一线,文旅服务,景区引导员,体力劳动,基础服务,小时结,32.5,130,3377,24,3,65.0,否,无需经验,不限,2,3,是,是,明途信息服务有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506023791,2025-06-18,2025-06,长沙,新一线,软件开发,大模型API接入助理,脑力劳动,Python+AIGC,小时结,250.9,1505,13037,12,2,93.1,是,有课程项目经验,大专及以上,4,4,需培训后,是,知行文化传媒有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506023868,2025-06-18,2025-06,广州,一线,企业服务,智能客服搭建助理,脑力劳动,Python+AIGC,项目结,155.4,1243,7402,11,2,89.4,否,有作品集优先,大专及以上,5,4,是,是,云图电子商务有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506023943,2025-06-18,2025-06,深圳,一线,文化传媒,批量内容生成工具开发,脑力劳动,Python+AIGC,项目结,225.0,1800,19485,20,2,96.3,是,有作品集优先,不限,5,4,需培训后,是,云图教育有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506024329,2025-06-18,2025-06,长沙,新一线,餐饮,餐厅服务员,体力劳动,基础服务,日结,24.5,196,1697,16,8,51.9,否,有相关经验优先,不限,1,1,是,是,远望数字创意有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506024369,2025-06-18,2025-06,昆明,二线,企业服务,提示词优化助理,脑力劳动,AIGC,项目结,112.0,672,8729,18,2,90.7,否,有作品集优先,高中/中专及以上,3,5,是,是,云杉科技有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506024783,2025-06-18,2025-06,昆明,二线,文旅服务,景区引导员,体力劳动,基础服务,小时结,25.6,102,2328,21,7,57.9,否,无需经验,高中/中专及以上,2,1,是,是,新域文化传媒有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506025226,2025-06-18,2025-06,青岛,二线,文化传媒,短视频剪辑助理,脑力劳动,普通数字岗位,小时结,38.0,228,1645,10,1,57.9,否,有作品优先,高中/中专及以上,1,3,是,是,灵犀科技有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506025391,2025-06-18,2025-06,重庆,新一线,测试服务,自动化测试助理,脑力劳动,Python,周结,83.6,502,8326,23,1,86.3,是,无需经验,大专及以上,3,3,需培训后,是,跃迁电子商务有限公司,数字营销公司,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506025621,2025-06-18,2025-06,青岛,二线,文旅服务,景区引导员,体力劳动,基础服务,日结,38.1,152,3299,20,1,50.8,否,有相关经验优先,不限,2,3,是,是,海纳电子商务有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506025791,2025-06-18,2025-06,济南,二线,餐饮,餐厅服务员,体力劳动,基础服务,小时结,23.2,186,1406,14,1,67.9,否,无需经验,不限,1,3,是,是,未来数字创意有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506025803,2025-06-18,2025-06,苏州,新一线,教育科技,Python编程助教,脑力劳动,Python,项目结,82.1,328,7821,22,5,73.7,是,有作品集优先,大专及以上,4,5,需培训后,是,云杉教育有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506026416,2025-06-18,2025-06,济南,二线,餐饮,饮品店店员,体力劳动,基础服务,日结,27.6,166,2749,23,4,56.0,否,无需经验,不限,1,1,是,是,知行电子商务有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506026660,2025-06-18,2025-06,长沙,新一线,电子商务,店铺运营助理,脑力劳动,普通数字岗位,小时结,35.8,143,3410,22,1,66.0,是,无需经验,高中/中专及以上,3,3,是,是,明途企业服务有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506026965,2025-06-18,2025-06,杭州,新一线,品牌营销,AI创意策划助理,脑力劳动,AIGC,项目结,134.6,808,6411,11,5,82.6,是,有课程项目经验,不限,3,4,需培训后,是,晨光电子商务有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506027034,2025-06-18,2025-06,武汉,新一线,物流仓储,快递打包员,体力劳动,基础服务,日结,31.1,124,2693,20,1,75.0,否,无需经验,不限,1,1,是,是,方舟网络技术有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506027110,2025-06-18,2025-06,广州,一线,文旅服务,景区引导员,体力劳动,基础服务,小时结,28.9,116,1877,15,6,56.7,否,有相关经验优先,不限,1,3,是,是,灵犀信息服务有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506027278,2025-06-18,2025-06,苏州,新一线,教育服务,教室管理助理,体力劳动,基础服务,周结,37.6,226,3419,21,7,69.8,否,无需经验,高中/中专及以上,2,1,是,是,新域文化传媒有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506027363,2025-06-18,2025-06,石家庄,二线,企业服务,自动化脚本开发,脑力劳动,Python,周结,110.2,882,6203,13,3,83.5,否,有作品集优先,高中/中专及以上,3,5,需培训后,部分,云杉教育有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506027392,2025-06-18,2025-06,西安,新一线,会展活动,展会协助员,体力劳动,基础服务,日结,24.8,99,1611,15,3,60.8,否,无需经验,不限,1,1,是,是,云图网络技术有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506027856,2025-06-18,2025-06,重庆,新一线,教育服务,线上课程助教,脑力劳动,普通数字岗位,周结,35.0,210,3031,20,4,68.7,否,无需经验,高中/中专及以上,2,2,是,是,灵犀信息服务有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506028132,2025-06-18,2025-06,深圳,一线,物流仓储,仓库分拣员,体力劳动,基础服务,周结,33.5,134,1741,12,5,62.9,否,无需经验,不限,1,1,是,是,博思文化传媒有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506028352,2025-06-18,2025-06,昆明,二线,数据服务,数据分析助理,脑力劳动,Python,小时结,83.1,332,2879,8,5,73.6,是,有作品集优先,高中/中专及以上,4,5,是,是,启航文化传媒有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506029343,2025-06-18,2025-06,合肥,二线,电子商务,智能选品工具开发,脑力劳动,Python+AIGC,项目结,178.5,1428,14685,19,1,99.8,是,无需经验,高中/中专及以上,4,5,是,是,灵犀企业服务有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506000493,2025-06-19,2025-06,南昌,二线,教育科技,AI学习工具开发助理,脑力劳动,Python+AIGC,小时结,182.3,1094,19734,25,2,90.6,是,有课程项目经验,大专及以上,4,5,是,是,数创文化传媒有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506001083,2025-06-19,2025-06,广州,一线,商超零售,门店促销员,体力劳动,基础服务,小时结,29.8,119,2323,18,1,59.6,否,有相关经验优先,不限,1,2,是,是,青禾企业服务有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506001754,2025-06-19,2025-06,南昌,二线,企业服务,智能客服搭建助理,脑力劳动,Python+AIGC,项目结,207.3,829,10771,12,3,85.0,是,有课程项目经验,高中/中专及以上,4,5,是,是,跃迁数字创意有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506001796,2025-06-19,2025-06,济南,二线,文化传媒,基础文案编辑,脑力劳动,普通数字岗位,周结,43.9,176,4372,23,4,79.0,否,有相关经验优先,高中/中专及以上,2,3,是,是,极光企业服务有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506001926,2025-06-19,2025-06,昆明,二线,企业服务,自动化脚本开发,脑力劳动,Python,项目结,98.8,790,10695,25,4,84.0,否,有课程项目经验,不限,3,5,需培训后,是,知行网络技术有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506002228,2025-06-19,2025-06,合肥,二线,数据服务,Python数据清洗助理,脑力劳动,Python,项目结,80.6,484,3490,10,2,91.1,否,有课程项目经验,高中/中专及以上,4,4,需培训后,是,青禾数字创意有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506002385,2025-06-19,2025-06,成都,新一线,数据服务,多模态数据处理助理,脑力劳动,Python+AIGC,项目结,201.5,806,19195,22,1,93.6,是,有课程项目经验,大专及以上,5,4,需培训后,是,灵犀科技有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506002393,2025-06-19,2025-06,贵阳,二线,企业服务,AI数据分析应用助理,脑力劳动,Python+AIGC,项目结,171.1,684,12595,17,5,99.6,否,无需经验,高中/中专及以上,4,4,需培训后,是,明途信息服务有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506002655,2025-06-19,2025-06,昆明,二线,数字人,数字人内容运营,脑力劳动,AIGC,周结,103.9,416,5849,13,2,93.4,否,有课程项目经验,不限,4,5,需培训后,是,海纳企业服务有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506003033,2025-06-19,2025-06,昆明,二线,餐饮,餐厅服务员,体力劳动,基础服务,小时结,23.6,94,2453,24,4,56.5,否,无需经验,不限,1,1,是,是,未来企业服务有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506003537,2025-06-19,2025-06,杭州,新一线,企业服务,AI数据分析应用助理,脑力劳动,Python+AIGC,项目结,233.9,1403,12153,12,2,89.0,是,有课程项目经验,高中/中专及以上,5,4,需培训后,是,跃迁科技有限公司,互联网企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506004359,2025-06-19,2025-06,郑州,二线,文化传媒,批量内容生成工具开发,脑力劳动,Python+AIGC,项目结,192.1,768,19963,24,5,85.7,否,有课程项目经验,大专及以上,4,4,需培训后,是,远望网络技术有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506005287,2025-06-19,2025-06,上海,一线,文旅服务,景区引导员,体力劳动,基础服务,周结,30.8,185,2534,19,1,52.2,否,无需经验,不限,2,1,是,是,新橙网络技术有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506005413,2025-06-19,2025-06,杭州,新一线,数据服务,公开数据采集助理,脑力劳动,Python,小时结,95.6,574,8279,20,2,70.8,是,有作品集优先,高中/中专及以上,4,3,需培训后,是,数创网络技术有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506005697,2025-06-19,2025-06,青岛,二线,餐饮,饮品店店员,体力劳动,基础服务,小时结,27.6,166,3824,32,1,63.1,否,有相关经验优先,不限,2,2,是,是,云图教育有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506006389,2025-06-19,2025-06,武汉,新一线,餐饮,餐厅服务员,体力劳动,基础服务,小时结,24.6,148,2343,22,4,56.3,否,无需经验,不限,1,2,是,是,方舟网络技术有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506007941,2025-06-19,2025-06,重庆,新一线,游戏动漫,AI角色素材制作,脑力劳动,AIGC,小时结,95.1,761,8647,21,1,95.1,是,无需经验,大专及以上,5,4,需培训后,是,新橙企业服务有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506007968,2025-06-19,2025-06,郑州,二线,短视频,AI视频制作助理,脑力劳动,AIGC,小时结,98.9,396,3426,8,4,94.7,否,无需经验,不限,3,4,需培训后,部分,知行企业服务有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506008151,2025-06-19,2025-06,苏州,新一线,文化传媒,基础文案编辑,脑力劳动,普通数字岗位,小时结,29.3,117,2918,23,4,66.9,否,无需经验,高中/中专及以上,3,3,是,是,跃迁教育有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506008397,2025-06-19,2025-06,青岛,二线,电子商务,店铺运营助理,脑力劳动,普通数字岗位,小时结,43.8,263,4552,24,5,58.3,是,无需经验,不限,3,3,是,是,新橙电子商务有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506008634,2025-06-19,2025-06,合肥,二线,办公自动化,AI工作流自动化助理,脑力劳动,Python+AIGC,小时结,176.0,1056,6097,8,5,81.6,否,有作品集优先,高中/中专及以上,5,5,需培训后,是,智谷科技有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506009890,2025-06-19,2025-06,上海,一线,会展活动,活动执行助理,体力劳动,基础服务,日结,35.7,286,4019,26,3,74.7,否,有相关经验优先,不限,2,2,是,是,方舟数字创意有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506010183,2025-06-19,2025-06,昆明,二线,游戏动漫,AI角色素材制作,脑力劳动,AIGC,小时结,108.9,436,11788,25,4,74.0,是,有课程项目经验,不限,3,5,需培训后,部分,方舟信息服务有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506010843,2025-06-19,2025-06,杭州,新一线,企业服务,提示词优化助理,脑力劳动,AIGC,项目结,140.6,844,9132,15,3,78.8,是,有课程项目经验,不限,4,4,需培训后,部分,知行电子商务有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506011167,2025-06-19,2025-06,杭州,新一线,广告设计,平面素材处理助理,脑力劳动,普通数字岗位,项目结,35.8,286,2635,17,4,63.5,否,有相关经验优先,高中/中专及以上,3,2,是,是,云杉信息服务有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506011202,2025-06-19,2025-06,广州,一线,教育科技,AI课件制作助理,脑力劳动,AIGC,周结,157.6,1261,10236,15,3,88.0,是,无需经验,大专及以上,5,5,需培训后,是,灵犀数字创意有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506011258,2025-06-19,2025-06,南昌,二线,广告设计,AI绘图设计助理,脑力劳动,AIGC,项目结,88.1,705,5722,15,5,92.0,否,有课程项目经验,大专及以上,4,4,需培训后,部分,青禾数字创意有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506011749,2025-06-19,2025-06,长沙,新一线,数字营销,AIGC内容运营,脑力劳动,AIGC,周结,108.2,433,9839,21,4,91.0,是,有课程项目经验,高中/中专及以上,3,5,需培训后,是,远望教育有限公司,互联网企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506012278,2025-06-19,2025-06,杭州,新一线,教育服务,教室管理助理,体力劳动,基础服务,小时结,31.9,128,4006,29,2,60.3,否,无需经验,不限,2,2,是,是,云杉科技有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506013413,2025-06-19,2025-06,苏州,新一线,办公自动化,AI工作流自动化助理,脑力劳动,Python+AIGC,项目结,191.0,764,9097,11,3,99.2,是,无需经验,不限,5,4,需培训后,是,星河文化传媒有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506013802,2025-06-19,2025-06,昆明,二线,数字营销,AIGC内容运营,脑力劳动,AIGC,项目结,98.6,394,10247,24,1,75.3,是,有课程项目经验,大专及以上,3,5,需培训后,是,晨光企业服务有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506013873,2025-06-19,2025-06,广州,一线,企业服务,智能客服搭建助理,脑力劳动,Python+AIGC,小时结,251.4,1508,19594,18,4,94.3,是,有作品集优先,高中/中专及以上,4,5,是,是,新域信息服务有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202506014231,2025-06-19,2025-06,昆明,二线,知识服务,RAG知识库项目助理,脑力劳动,Python+AIGC,项目结,171.8,1031,10415,14,3,84.2,是,有作品集优先,大专及以上,5,5,需培训后,是,未来文化传媒有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
